department,internal_id,last_sold,name,price,properties,quantity,tags,upc
WINE,,2019-07-13 00:00:00,Ed Hardy Original Sangria 3L Domestiv,19.61,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088603010985
WINE,,2019-06-26 00:00:00,Ed Hardy Rose Sang Sparkling 750ml Import,7.48,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088603011425
LIQUOR,,2020-01-26 00:00:00,Gordons Vodka 375ml Vodka,7.62,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,08861633
WINE,,2019-04-20 00:00:00,Sterling Merlot 750ml Domestic,11.76,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088692860249
WINE,,2020-02-21 00:00:00,Sterling Pinot Noir 750ml Domestic,11.98,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088692862106
LIQUOR,,2019-04-19 00:00:00,Old Thompson 50ml Whiskey 50ml,1.07,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,089000010813
LIQUOR,,2019-03-13 00:00:00,Old Thompson 375ml Whiskey,6.0,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,089000016846
LIQUOR,,2019-10-04 00:00:00,Red Label 50ml Scotch 50ml,1.6,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,08911302
LIQUOR,,2020-04-01 00:00:00,Kahlua Liqueur 50ml,2.45,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,089540122748
LIQUOR,,2020-04-08 00:00:00,Malibu 50ml Liqueur,1.87,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,089540453927
LIQUOR,,2019-05-25 00:00:00,Rubinoff Pineapple 1.75L Vodka,14.16,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,089552001260
LIQUOR,,2019-07-12 00:00:00,Rubinoff Citrus 1.75L Vodka,14.16,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,089552100215
LIQUOR,,2020-03-20 00:00:00,Rubinoff Raspberry Vodka,14.16,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,089552100246
LIQUOR,,2019-08-29 00:00:00,Rubinoff Lemonade 1.75L Vodka,14.16,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,089552100598
LIQUOR,,2020-01-11 00:00:00,Rubinoff Blue Raspberry Vodka,14.16,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,089552110108
LIQUOR,,2019-07-06 00:00:00,Old Mexico Oro 750ml Tequila,14.16,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,089552460869
WINE,,2019-12-11 00:00:00,Gabbiano Pinot Grigio 750ml Import,8.55,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,089819116621
WINE,,2019-05-11 00:00:00,Gabbiano Chianti 1.5L Import,12.83,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,089819501465
